GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	Redshift	T_intrinsic
221226B	3.44	5.4	0.5	2.6	0.3		0.13			2.694	0.9312398484028154
221110A	8.98	5.1	0.5	1.1	0.2		0.16			4.06	1.7747035573122532
211207A	3.73	1.9	0.4	0.9	0.2		0.3			2.272	1.1399755501222495
211023B	1.3	1.7	0.3	2.2	0.3		0.24			0.862	0.6981740064446831
210517A	3.06	1.5	0.3	1.5	0.2		0.25			2.486	0.8777969018932874
201221D	0.16	3.9	0.4	5.6	0.5		0.13			1.046	0.07820136852394916
200522A	0.62	1.1	0.1	1.5	0.2		0.17			0.4	0.4428571428571429
190829A	58.2	64.0	7.0	18.0	2.7		0.21			25810.28	0.002254828121658438
190627A	1.6	0.99	0.22	1.1	0.3		0.38			1.942	0.5438477226376615
160624A	0.2	0.4	0.09	0.5	0.1		0.45			0.483	0.13486176668914363
150423A	0.22	0.63	0.1	0.9	0.1		0.24			1.394	0.09189640768588136
150120A	1.2	1.4	0.2	1.8	0.2		0.18			0.46	0.821917808219178
150101B	0.018	0.23	0.06				0.5			0.093	0.01646843549862763
141212A	0.3	0.72	0.12	1.2	0.2		0.23			0.596	0.18796992481203006
140903A	0.3	1.4	0.1	2.5	0.2		0.12			0.351	0.22205773501110287
140622A	0.13	0.27	0.05	0.6	0.2					0.959	0.06636038795303727
140114A	139.7	32.0	1.0	0.9	0.1		0.09			1503.05323	0.09288235097902751
131004A	1.54	2.8	0.2	3.4	0.2		0.11			0.71	0.9005847953216375
130612A	4.0	2.3	0.5	1.7	0.3		1.71			2.006	1.3306719893546242
130603B	0.18	6.3	0.3	6.4	0.3		0.07			0.356	0.13274336283185842
130131B	4.3	3.4	0.4	1.0	0.2		0.2			2.539	1.2150324950551001
120805A	48.0	8.2	1.4	0.37	0.2		0.28			1503.05323	0.03191376411591497
101225A	1088.0	19.0	4.0	0.0	0.0		0.32			1302.2352	0.8348454676485104
101219A	0.6	4.6	0.3	4.1	0.2		0.09			0.718	0.3492433061699651
100816A	2.9	20.0	1.0	10.9	0.4		0.24			0.8035	1.6079844746326586
100724A	1.4	1.6	0.2	1.9	0.2		0.21			1.288	0.6118881118881118
100316B	3.8	2.0	0.2	1.3	0.1		0.18			1.18	1.743119266055046
090927	2.2	2.0	0.3	2.0	0.2		0.2			1.37	0.9282700421940928
090809	5.4	3.4	0.5	1.1	0.2		0.24			2.737	1.4450093658014451
090510	0.3	3.4	0.4	9.7	1.1		0.2			0.903	0.15764582238570676
090426	1.2	1.8	0.3	2.4	0.3		0.22			2.609	0.3325020781379884
090423	10.3	5.9	0.4	1.7	0.2		0.5			8.1	1.131868131868132
090205	8.8	1.9	0.3	0.5	0.1		0.23			4.6497	1.5576048285749686
080913	8.0	5.6	0.6	1.4	0.2		0.7			6.44	1.075268817204301
080905A	1.0	1.4	0.2	1.3	0.2		0.24			0.1218	0.8914244963451596
080520	2.8	0.55	0.17	0.5	0.1		0.51			1.545	1.1001964636542239
080516	5.8	2.6	0.4	1.8	0.3		0.27			3.2	1.380952380952381
071227	1.8	2.2	0.3	1.6	0.2		0.22			0.384	1.300578034682081
071020	4.2	23.0	1.0	8.4	0.3		0.05			2.142	1.3367281985996182
070724A	0.4	0.3	0.07	1.0	0.2		0.33			0.457	0.27453671928620454
070506	4.3	2.1	0.23	0.96	0.13		0.17			2.31	1.2990936555891237
070429B	0.47	0.63	0.1	1.76	0.24		0.23			0.904	0.2468487394957983
061217	0.21	0.42	0.07	1.49	0.24		0.3			0.827	0.11494252873563218
061201	0.76	3.34	0.27	3.86	0.31		0.15			0.111	0.684068406840684
060926	8.0	2.19	0.25	1.09	0.14		0.23			3.208	1.9011406844106462
060502B	0.131	0.4	0.05	0.62	0.12		0.19			0.287	0.10178710178710179
060206	7.6	8.31	0.42	2.79	0.17					4.048	1.5055467511885894
051221A	1.4	11.5	0.35	12.0	0.39		0.06			0.547	0.9049773755656108
050922C	4.5	16.2	0.54	7.26	0.32		0.06			2.198	1.4071294559099436
050813	0.45	0.44	0.11	0.94	0.23		0.37			1.8	0.16071428571428573
050509B	0.073	0.09	0.02	0.28	0.1		0.38			0.225	0.05959183673469387
050416A	2.5	3.67	0.37	4.88	0.48		0.22			0.6535	1.5119443604475356
050406	5.4	0.68	0.14	0.36	0.1		0.35			2.44	1.5697674418604652
