GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
231118A	37.63	37	2	9.7	0.5	1.40, PL	0.07	00:19:19.53	-48:02:23.5	0.8304 (VLT: absorption)
231117A	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22:09:33.57	13:31:21.1	0.257 (Keck I: emission & absorption)|0.257 (ePESSTO+: emission)
231111A	34.08	34	1	2.7	0.3	1.58, PL	0.07	19:20:45.37	52:26:08.9	~1.39 (TNG, tentative)| 1.179 (GTC)
230818A	9.82	19	1	6.7	0.5	1.36, PL	0.10	19:03:33.15	40:53:48.3	2.42 (NOT: absorption)|2.42 (SAO RAS: absorption)
230506C	31.00	17	2	2.4	0.5	1.89, PL	0.17	08:57:28.23	45:07:58.6	3.7
230414B	25.98	4.7	1.0	0.6	0.2	1.60, PL	0.30	12:04:22.72	53:09:15.7	3.568 (OSIRIS/GTC: absorption)
230328B	19.23	43	2	8.4	0.5	1.22, CPL	0.29	19:24:01.65	80:00:34.4	Minimal possible redshift value of z = 0.09
230325A	38.05	13	2	3.3	0.4	1.82, PL	0.18	19:47:23.94	-46:04:33.9	1.664 (VLT: emission)
230116D	41.00	8.12	1.2	0.6	0.2	1.38, PL	0.22	06:34:28.28	49:52:22.3	3.81 (SAO RAS: absorption)
221226B	3.44	5.4	0.5	2.6	0.3	1.16, PL	0.13	01:31:38.07	-41:31:36.0	2.694 (VLT: absorption)
221110A	8.98	5.1	0.5	1.1	0.2	1.41, PL	0.16	01:56:23.81	-27:17:44.5	4.06 (VLT: absorption)
221009A	1068.40	740	10	1.9	0.3	2.08, PL	0.03	19:13:03.85	19:46:22.7	0.151 (VLT: absorption & emission from host)|0.1505 (GTC: absorption)
220611A	57.00	6.7	1.3	n/a	n/a	1.87, PL	0.29	04:26:03.51	-37:15:35.6	2.3608 (VLT: emission from host)
220521A	13.55	8.1	0.8	4.7	0.4	1.97, PL	0.18	18:20:55.15	10:22:18.4	5.6 (NOT: absorption)|5.57 (Gemini-South)
220117A	49.81	16	2	1.9	0.4	1.84, PL	0.18	06:06:17.40	-28:26:14.6	4.961 (VLT: absorption)
220107A	n/a	n/a	n/a	n/a	n/a	n/a	n/a	11:19:13.68	34:10:14.3	1.246 (BTA: absorption)
220101A	173.36	250	0	7.3	0.3	1.13, CPL	0.13	00:05:24.89	31:46:07.7	4.61 (Xinglong: absorption)|4.618 (NOT: absorption)|4.61 (Asiago: absorption)
211207A	3.73	1.9	0.4	0.9	0.2	1.72, PL	0.30	09:58:29.71	-24:21:34.8	2.272 (VLT: absorption)
211024B	603.5	68	3	0.9	0.2	1.63, PL	0.09	10:18:51.04	24:34:05.7	1.1137 (VLT: emission from host)
211023B	1.30	1.7	0.3	2.2	0.3	1.97, PL	0.24	11:21:14.09	39:08:07.2	0.862 (LBT: spectroscopic)
210905A	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20:36:11.64	-44:26:24.1	6.318 (VLT: absorption)
210822A	180.8	200	4	27.7	0.7	1.30, PL	0.4	20:17:45.01	05:17:00.5	1.736 (NOT: absorption)
210731A	22.51	22	2	1.6	0.3	-0.25, CPL	0.59	20:01:13.14	-28:03:39.4	1.2525 (VLT: absorption)
210722A	50.20	25	2	2.2	0.5	1.62, PL	0.14	01:48:07.26	-06:20:51.3	1.145 (GTC: absorption)
210702A	138.2	98	5	n/a	n/a	1.54, PL	0.09	11:14:18.90	-36:44:49.7	1.1757 (Swift/UVOT: absorption)|1.160 (VLT: absorption)
210619B	60.90	950	10	115.0	2.2	1.41, PL	0.02	21:18:52.39	33:51:00.2	1.937 (OSIRIS/GTC: absorption)
210610B	69.38	360	10	13.5	0.7	0.98, CPL	0.11	16:15:40.47	14:23:56.3	1.13 (NOT: tentative)|1.1345 (GTC)|1.13 (HCT: absorption)
210610A	13.62	10	1	2.4	0.4	1.41, PL	0.19	13:37:07.74	14:27:55.4	3.54 (Xinglong: absorption)|3.5 (HCT: absorption)
210517A	3.06	1.5	0.3	1.5	0.2	1.85, PL	0.25	23:52:53.81	-39:06:06.7	2.486 (VLT: emission & absorption)
210504A	135.06	27	2	0.9	0.2	1.64, PL	0.13	14:49:33.89	-30:32:00.5	2.077 (VLT: absorption)
210420B	158.8	15	2	0.5	0.2	1.49, PL	0.19	16:57:17.90	42:34:12.7	1.400 (GTC: absorption)
210411C	12.80	12	1	4.8	0.3	1.60, CPL	0.40	19:46:26.74	-39:23:53.4	2.826 (VLT: absorption)
210321A	8.21	6.7	0.8	1.7	0.4	2.15, PL	0.20	05:51:34.99	70:07:50.0	1.487 (OSIRIS/GTC)
210222B	12.82	3.4	0.7	1.4	0.3	2.37, PL	0.33	10:18:25.38	-14:55:54.1	2.198 (FORS2/VLT: absorption)
210210A	6.60	9.8	0.8	7.0	0.5	1.53, CPL	0.58	17:31:04.88	14:39:45.1	0.715 (OSIRIS/GTC: absorption)
201221D	0.16	3.9	0.4	5.6	0.5	1.56, PL	0.13	11:24:14.15	42:08:36.6	1.046 (GTC: emission/absorption)
201221A	44.5	18	2	1.0	0.3	1.40, PL	0.15	14:17:55.22	-45:24:58.1	5.70 (VLT)
201216C	48.0	450	10	18.0	1.1	1.43, PL	0.03	01:05:28.88	16:30:58.0	1.10 (VLT: likely redshift)
201104B	8.66	18	1	4.1	0.3	1.47, PL	0.07	00:20:51.46	07:50:30.7	1.954 (VLT: absorption & emission)
201024A	5.00	8.1	0.9	3.7	0.6	2.10, PL	0.18	08:23:48.48	03:21:13.5	0.999 (GTC: absorption)
201021C	24.38	10	1	1.0	0.2	1.63, PL	0.15	00:50:06.93	-55:51:55.8	1.070 (VLT: absorption)
201020A	14.17	9.2	0.7	2.1	0.2	2.25, PL	0.14	17:24:54.73	31:25:41.7	2.903 (GTC: absorption)
201015A	9.78	2.0	0.6	1.8	0.4	3.03, PL	0.68	23:37:16.46	53:24:57.7	0.426 (GTC: emission)|0.423 (NOT: absorption & emission)
201014A	36.2	3.1	0.7	0.3	0.2	2.55, PL	0.37	01:23:11.09	27:39:36.9	4.56 (GTC)
200829A	13.04	510	10	98.7	1.6	0.83, PL	0.03	16:44:49.42	72:19:45.2	1.25 (UVOT-XRT: photometric)
200522A	0.62	1.1	0.1	1.5	0.2	1.45, PL	0.17	00:22:43.68	-00:16:59.4	0.4 (SDSS: photometric)
200205B	458.0	54	2	2.0	0.2	1.36, CPL	0.22	07:11:09.02	-56:29:14.8	1.465 (VLT: absorption and emission)
191221B	48.00	190	10	4.8	0.7	1.24, PL	0.05	10:19:19.17	-38:09:27.4	1.19 (UVOT), 1.148 (VLT: absorption)
191019A	64.35	100	3	5.7	0.4	2.25, PL	0.05	22:40:5.86	-17:19:41.3	0.248 (NOT: absorption)
